nchars	minlen	maxlen	nhidden	batch_size	epochs	weight_cost	pseudol9	LR_nudge	LR_sil	LR_noise	Err_nudge	Err_sil	Err_noise	recon_error	filler	name	grade
28	0	20	250	30	10	1.0E-05	-2.044	8.251	49.36	98.41	6.47	1.4	0	2.615	$	usgeo__doubdoub_bs30_e10_lr5E-03_wc1E-05.pickle	4
28	7	20	200	20	10	1.0E-04	-2	6.761	49.97	97.38	5.32	0.58	0	2.319	$	usgeo__finetune33_bs20_lrb_e10_lr1E-03_wc1E-04.pickle	4
28	0	20	250	20	20	1.0E-04	-2.274	8.171	48.26	101	6.47	2.72	0	2.757	$	usgeo__bs20_nh250_lrb_e20_lr5E-02_wc1E-04_l.pickle	4
28	7	20	200	50	5	1.0E-04	-2.048	6.885	50.58	100.7	5.43	0.78	0	2.327	$	usgeo__bs50_lrb_lr1E-02_wc1E-04.pickle	4
28	0	20	250	20	30	1.0E-04	-2.076	8.318	49.51	98.85	6.29	1.1	0	2.628	$	usgeo__doubl_bs20_lrb_e30_lr1E-02_wc1E-04.pickle	4
28	0	20	350	40	20	1.0E-04	-1.715	8.163	53.73	112.8	4.95	0.84	0	2.156	$	usgeo__350doub_bs40_lrb_e20_lr5E-03_wc1E-04.pickle	4
28	0	20	250	20	30	1.0E-04	-2.088	8.074	48.62	97.8	6.34	1.31	0	2.672	$	usgeo__doubl2_bs20_lrb_e30_lr2E-03_wc1E-04.pickle	4
28	0	20	350	20	20	1.0E-04	-2.493	8.462	56.35	129	6.18	4.85	0	2.206	$	usgeo__bs20_nh350_lrb_e20_lr5E-02_wc1E-04.pickle	4
28	0	20	180	10	5	1.0E-05	-2.73	7.772	45.39	95.87	8.63	3.11	0	3.324	$	usgeo__lrb_wc1E-05_l.pickle	4
28	9	20	200	10	31	1.0E-04	-2.096	8.31	54.75	113.6	5.85	1.16	0	2.923	$	usgeo__2fantasy__nh200_lrb_e31_wc1E-04.pickle	4
28	0	20	350	20	20	1.0E-04	-1.963	8.059	53.85	119.1	5.34	2.26	0	2.168	$	usgeo__350doub-low-lr_bs20_lrb_e20_lr1E-03_wc1E-04.pickle	4
27	NA	20	200	10	30	NA	-11.15	10.63	61.71	175.9	12.98	19.06	0.63	3.828	<sp>	usgeo__30_200_0.100.pickle	2
28	12	20	200	10	30	NA	-3.282	9.629	61.5	133.4	7.88	3.25	0.04	3.516	$	usgeo__lrb_30_200_0.100.pickle	2
28	9	20	200	10	30	1.0E-04	-6.203	7.924	52.85	128.8	7.93	9.23	0.03	3.335	$	usgeo__nh200_lrb_e30_wc1E-04.pickle	2
28	NA	20	100	10	18	NA	-8.171	7.02	47.37	124.5	10.62	12.72	0.07	3.774	$	usgeo__lrb_18_100_0.100.pickle	2
28	0	20	180	10	5	0	-9.521	13.78	80.28	211.7	13.99	13.21	0.01	3.164	$	usgeo_v0_s.pickle	2
28	7	20	200	10	33	1.0E-04	-2.024	6.733	50.21	97.04	5.86	0.67	0	2.326	$	usgeo__nh200_lrb_e33_lr1E-02_wc1E-04.pickle	2
28	0	20	250	30	60	1.0E-04	-1.947	8.126	48.77	97.75	6.28	1.26	0	2.579	$	usgeo__bs30_lrb_e60_lr1E-03.pickle	3
28	7	20	200	100	5	0.01	-2.045	6.68	49.02	94.95	5.65	0.35	0	2.35	$	usgeo__pre_bs100_lrb_lr1E-02_wc1E-02.pickle	3
28	0	20	350	20	20	1.0E-05	-2.053	8.14	54.47	118.2	5.58	2.06	0	2.127	$	usgeo__350doub-low-wc_bs20_lrb_e20_lr5E-03_wc1E-05.pickle	3
27	NA	20	200	10	10	NA	-4.248	9.911	61.39	134.6	10.14	2.15	0	3.434	<sp>	usgeo__10_200_0.100.pickle	3
28	0	20	350	20	20	1.0E-04	-1.876	8.199	54.61	121.1	5.02	3.41	0	2.117	$	usgeo__350doub_bs20_lrb_e20_lr5E-03_wc1E-04.pickle	3
28	7	20	200	10	32	1.0E-04	-2.466	7.218	45.72	96.8	7.42	1.73	0	3.515	$	usgeo__nh200_lrb_e32_lr5E-01_wc1E-04.pickle	3
28	0	20	150	10	10	0	-3.54	9.727	52.25	113.3	10.88	5.55	0	3.552	$	usgeo__nh150_e10_l.pickle	3
28	0	20	180	10	5	1.0E-05	-2.694	7.06	49.03	111.2	7.55	4.19	0	3.273	$	usgeo__lrb_wc1E-05.pickle	3
28	0	20	250	20	20	1.0E-04	-2.138	7.86	53.18	112.8	6.17	2.09	0	2.447	$	usgeo__bs20_nh250_lrb_e20_lr5E-02_wc1E-04.pickle	3
28	NA	20	150	10	10	NA	-2.887	7.319	49.89	118.3	7.83	4.41	0.01	3.388	$	usgeo__lrb_10_150_0.100.pickle	3
28	0	20	400	50	15	1.0E-04	-18.52	37.73	223.5	494	12.12	10.44	0.07	1.486	$	usgeo__doub35_lrb_e15_lr5E-02_wc1E-04.pickle	1
28	0	20	400	50	15	1.0E-04	-28.26	42.43	247.3	594.5	13.94	12.04	0.07	1.609	$	usgeo__doub37_lrb_e15_wc1E-04.pickle	1
28	0	20	400	10	5	1.0E-05	-7.79	5.61	37.56	152.8	18.83	19.94	0.18	4.466	$	usgeo__nh400_s_lr5E-01_wc1E-05.pickle	1
28	0	20	400	50	30	0	-20.78	37.75	224	435.2	12.22	6.47	0.09	1.56	$	usgeo__b50_nh400_s_e30.pickle	1
28	0	20	400	10	5	1.0E-05	-3.98	7.743	56.28	112.3	9.24	6.5	0	2.329	$	usgeo__nh400_s_lr1E-02_wc1E-05.pickle	1
28	0	20	350	20	20	1.0E-04	-5.874	3.158	27.64	81.02	18	10.79	0.01	4.846	$	usgeo__hotfantasy_bs20_nh350_lrb_e20_lr5E-02_wc1E-04.pickle	1
27	NA	25	400	10	30	NA	-28.08	24.62	170.9	582.2	18.94	15.6	0.1	4.034	<sp>	usgeo__30_400_0.100.pickle	1
28	0	20	400	100	10	1.0E-04	-14.56	35.43	214.3	458.9	10.48	6.01	0.09	1.388	$	usgeo__doub34_lrb_e10_lr5E-02_wc1E-04.pickle	1
28	0	20	500	10	40	1.0E-05	-138.6	180.4	1018	2721	17	14.93	0.13	3.236	$	usgeo__nh500_s_e40_wc1E-05.pickle	1
27	NA	20	400	10	20	1.0E-05	-109.8	122.4	661.7	1532	17.71	13.88	0.2	3.068	<sp>	usgeo__doub2_lrb_e20_wc1E-05.pickle	1
27	NA	20	300	10	30	NA	-12.2	18.03	103.3	381.7	15.35	12.77	0.05	3.742	<sp>	usgeo__30_300_0.100.pickle	1
28	0	20	400	10	5	1.0E-05	-11.3	17.21	104.4	269.8	13.92	10.67	0.03	2.509	$	usgeo__nh400_s_wc1E-05.pickle	1
28	NA	20	100	10	18	NA	-3.389	7.141	47.68	114.6	9.55	5.64	0	3.694	$	usgeo__lrb_18_100_0.100_zeroinit.pickle	1
28	0	20	400	10	5	1.0E-05	-5.258	11.95	75.56	158.2	9.48	3.86	0	2.239	$	usgeo__nh400_s_lrb_wc1E-05.pickle	1
28	0	20	400	50	5	1.0E-04	-18.71	37.26	231.9	489.8	11.6	9.5	0.03	1.455	$	usgeo__doub33_lrb_lr5E-02_wc1E-04.pickle	1
27	NA	20	400	10	30	NA	-86.7	104.4	568.5	1530	17.66	14.98	0.18	3.109	<sp>	usgeo__nosm_30_400_0.100.pickle	1
27	NA	20	400	10	20	0	-138.9	125.6	757.6	2129	17.36	15.58	0.24	3.173	<sp>	usgeo__doub1_lrb_e20.pickle	1
28	0	20	250	20	20	1.0E-04	-5.679	2.885	26.44	72.93	18.19	11.37	0	4.875	$	usgeo__hotfantasy_bs20_nh250_lrb_e20_lr5E-02_wc1E-04.pickle	1
28	0	20	400	50	5	1.0E-05	-4.052	10.19	70.15	131.2	8.38	0.87	0	1.811	$	usgeo__batch50_nh400_s_wc1E-05.pickle	1
28	0	20	400	10	40	0	-18.91	38.81	213.2	857	13.98	18.94	0.06	3.418	$	usgeo__nh400_s_lrb_e40_lr2E-01.pickle	1
